,subject,relation,object,subject_type,object_type
128,Approximately 55 to 65 percent,deliver,productivity,PERCENT,NOUN_CHUNK
129,productivity,improve,labor asset or.resource productivity,NOUN_CHUNK,NOUN_CHUNK
130,large representative cross - section,include,industrial consumer facing businesses,NOUN_CHUNK,NOUN_CHUNK
131,7.We,analyzed,use cases,NOUN_CHUNK,NOUN_CHUNK
132,Connectivity,unlock,value,NOUN_CHUNK,NOUN_CHUNK
133,Example Tools,Increase,Remote monitoring            Enhancing product        New products,NOUN_CHUNK,NOUN_CHUNK
134,Frontier connectivity,analyze.enormous,quantities,NOUN_CHUNK,NOUN_CHUNK
135,extent,have,meaningful.impact,NOUN_CHUNK,NOUN_CHUNK
136,World Bank literature review,finds,economic,NOUN_CHUNK,NOUN_CHUNK
137,economic growth,see,World development report,NOUN_CHUNK,NOUN_CHUNK
138,share,remaining,under-,NOUN_CHUNK,NOUN_CHUNK
139,newly online population,gain,intermediate,NOUN_CHUNK,NOUN_CHUNK
140,advanced frontier connectivity,provide,companies,NOUN_CHUNK,NOUN_CHUNK
141,Connectivity,underpins,major changes,NOUN_CHUNK,NOUN_CHUNK
142,The decade ahead,promises,bigger shifts,DATE,NOUN_CHUNK
143,new type,has,dimensions,NOUN_CHUNK,NOUN_CHUNK
144,multiple types,estimate,some $15 billion,NOUN_CHUNK,MONEY
145,Manufacturers,monitor,condition,NOUN_CHUNK,NOUN_CHUNK
146,Service offerings,include,unsupervised towing,NOUN_CHUNK,NOUN_CHUNK
147,Predictive maintenance,represents,potential new revenue pool,NOUN_CHUNK,NOUN_CHUNK
148,passengers,optimize,passengers routes,NOUN_CHUNK,NOUN_CHUNK
149,V2P,connects,vehicles,NOUN_CHUNK,NOUN_CHUNK
150,enhanced connectivity,accelerate,development,NOUN_CHUNK,NOUN_CHUNK
151,connections,enable,live software updates,NOUN_CHUNK,NOUN_CHUNK
152,capabilities,create,meaningful value,NOUN_CHUNK,NOUN_CHUNK
153,improved connectivity,enable,80 innovations,NOUN_CHUNK,NOUN_CHUNK
154,market,given,rise,NOUN_CHUNK,NOUN_CHUNK
155,automakers,need,relevant expertise,NOUN_CHUNK,NOUN_CHUNK
156,Connectivity infrastructure              Backbone,include,5 G,NOUN_CHUNK,NOUN_CHUNK
157,plausible scenario,see,major tech player,NOUN_CHUNK,NOUN_CHUNK
158,multiple tech players,own,functional platforms,NOUN_CHUNK,NOUN_CHUNK
159,traditional automotive parts manufacturers,regard,mobility,NOUN_CHUNK,NOUN_CHUNK
160,Automakers,consider,similar approach,NOUN_CHUNK,NOUN_CHUNK
161,systems,platforms,deep capabilities,NOUN_CHUNK,NOUN_CHUNK
162,monetizing car data,require,real digital ecosystems,NOUN_CHUNK,NOUN_CHUNK
163,consumers,decline,personal data tracking,NOUN_CHUNK,NOUN_CHUNK
164,digitized healthcare system,also.have,significant indirect effects,NOUN_CHUNK,NOUN_CHUNK
165,resulting data,transmitted.on,advanced mobile connection,NOUN_CHUNK,NOUN_CHUNK
166,Remote monitoring,help,patients,NOUN_CHUNK,NOUN_CHUNK
167,analysis,includes,85 use cases,NOUN_CHUNK,NOUN_CHUNK
168,Patients,wear,sensors,NOUN_CHUNK,NOUN_CHUNK
169,Frontier.connectivity,give,remote patient monitoring systems,NOUN_CHUNK,NOUN_CHUNK
170,tools,AI-enabled decision support solutions,latest information,NOUN_CHUNK,NOUN_CHUNK
171,enhanced connectivity,foster,wider use,NOUN_CHUNK,NOUN_CHUNK
172,Telemedicine,provide,access,NOUN_CHUNK,NOUN_CHUNK
173,Advanced technologies,improve,patient outcomes,NOUN_CHUNK,NOUN_CHUNK
174,researchers,concept,vast genomic datasets,NOUN_CHUNK,NOUN_CHUNK
175,system,monitoring,patients,NOUN_CHUNK,NOUN_CHUNK
176,Israel largest healthcare organization,using,IoT based smart cabinets,NOUN_CHUNK,NOUN_CHUNK
177,14 hospitals,accelerate,digital transformation,NOUN_CHUNK,NOUN_CHUNK
178,Technology connectivity providers,play,bigger role,NOUN_CHUNK,NOUN_CHUNK
179,Automakers,use,private 5 G networks,NOUN_CHUNK,NOUN_CHUNK
180,mid - sized companies,follow,suit,NOUN_CHUNK,NOUN_CHUNK
181,Frontier connectivity,paves,way,NOUN_CHUNK,NOUN_CHUNK
182,Pickit,created,robots,NOUN_CHUNK,NOUN_CHUNK
183,Companies,capture,significant value,NOUN_CHUNK,NOUN_CHUNK
184,companies,retrofit,old equipment,NOUN_CHUNK,NOUN_CHUNK
185,companies,important,equipment,NOUN_CHUNK,NOUN_CHUNK
186,R&D,generate,some $45 billion to $75 billion,NOUN_CHUNK,MONEY
187,AI,improve,visual inspections,NOUN_CHUNK,NOUN_CHUNK
188,Early movers,started,5 G partnerships,NOUN_CHUNK,NOUN_CHUNK
189,Telefónica,with,private 5 G network,ORG,NOUN_CHUNK
190,good starting point,leveraging,experience,NOUN_CHUNK,NOUN_CHUNK
191,Audi,release,5 G,ORG,NOUN_CHUNK
192,Volkswagen,release,Industrial Cloud,ORG,ORG
193,Industry 4.0 applications,expected,traction,NOUN_CHUNK,NOUN_CHUNK
194,digital,drives,choices,NOUN_CHUNK,NOUN_CHUNK
195,roughly half,used,omnichannel services,CARDINAL,NOUN_CHUNK
196,Customers,take,Customers,NOUN_CHUNK,NOUN_CHUNK
197,one-third,flip,social media accounts,CARDINAL,NOUN_CHUNK
198,types,include,multiple types,NOUN_CHUNK,NOUN_CHUNK
199,trends,pass,tipping point,NOUN_CHUNK,NOUN_CHUNK
200,cases,span,entire retail value chain,NOUN_CHUNK,NOUN_CHUNK
201,shift,pushing,retailers,NOUN_CHUNK,NOUN_CHUNK
202,visibility,unlock,great deal,NOUN_CHUNK,NOUN_CHUNK
203,management tools,generate,about $5 billion to $10 billion,NOUN_CHUNK,MONEY
204,computer vision,requires,significant computing power,NOUN_CHUNK,NOUN_CHUNK
205,E - commerce,raised,bar,NOUN_CHUNK,NOUN_CHUNK
206,One,eliminating,checkout,CARDINAL,NOUN_CHUNK
207,payment beacons,enable,shoppers,NOUN_CHUNK,NOUN_CHUNK
208,Checkout optimization,generate,up to $125 billion to $200 billion,NOUN_CHUNK,MONEY
209,Advanced connectivity,support,a new level of.personalization,NOUN_CHUNK,PRODUCT
210,Personalization,boost,total sales,NOUN_CHUNK,NOUN_CHUNK
211,fewer than 10 percent,Yet a recent McKinsey survey.found,strategies,PERCENT,NOUN_CHUNK
212,Implications,experienced,significant disruption,NOUN_CHUNK,NOUN_CHUNK
213,connectivity technology service providers,develop,systems,NOUN_CHUNK,NOUN_CHUNK
214,Subscale players,have,limited access,NOUN_CHUNK,NOUN_CHUNK
215,Standard Cognition,set,checkout free payment systems,NOUN_CHUNK,NOUN_CHUNK
216,Activities,managed,Activities,NOUN_CHUNK,NOUN_CHUNK
217,High                                                 Retailers,scale,Low,NOUN_CHUNK,NOUN_CHUNK
218,Only 40 percent,posted,rising gross margins,PERCENT,NOUN_CHUNK
219,customers,embrace,convenience,NOUN_CHUNK,NOUN_CHUNK
220,analysis,suggests,barriers,NOUN_CHUNK,NOUN_CHUNK
221,Value chain coordination,Use,case fragmentation,NOUN_CHUNK,NOUN_CHUNK
222,remote monitoring,has,clear benefits,NOUN_CHUNK,NOUN_CHUNK
223,vehicle to-.infrastructure,involve,public infrastructure.providers,NOUN_CHUNK,NOUN_CHUNK
224,hundreds,represent,relatively small fraction,CARDINAL,NOUN_CHUNK
225,and.stakeholders,see,value potential,NOUN_CHUNK,NOUN_CHUNK
226,Misaligned incentives,slow,adoption,NOUN_CHUNK,NOUN_CHUNK
227,healthcare innovations,improve,patient,NOUN_CHUNK,NOUN_CHUNK
228,potential solution,directing,public funding,NOUN_CHUNK,NOUN_CHUNK
229,5 G Plus strategy,includes,$27 billion,NOUN_CHUNK,MONEY
230,direct support initiatives,include,subsidizing,NOUN_CHUNK,NOUN_CHUNK
231,Policy makers,play,key role,NOUN_CHUNK,NOUN_CHUNK
232,firms,postponed,asset upgrades,NOUN_CHUNK,NOUN_CHUNK
233,Governments,establish,clear thoughtful legal frameworks,NOUN_CHUNK,NOUN_CHUNK
234,market,determine,country timeline,NOUN_CHUNK,NOUN_CHUNK
235,price competition,lower average revenue,margins peers,NOUN_CHUNK,NOUN_CHUNK
236,deployment,limit,accessibility,NOUN_CHUNK,NOUN_CHUNK
237,China,poured,huge amounts,GPE,NOUN_CHUNK
238,number,hit,800 million,NOUN_CHUNK,CARDINAL
239,low subscription prices,challenging,commercial viability,NOUN_CHUNK,NOUN_CHUNK
240,mid-band 5G,upgrade,infrastructure,ORG,NOUN_CHUNK
241,capacity,determine,viability,ORG,NOUN_CHUNK
242,providers,work,some 80 percent,NOUN_CHUNK,PERCENT
243,BharatNet,links,1.29 lakh panchayats,ORG,NOUN_CHUNK
244,true high band 5 G network,requires,more.tailored infrastructure,NOUN_CHUNK,NOUN_CHUNK
245,frontier networks,reach,between 5 to.15 percent,NOUN_CHUNK,PERCENT
246,affordability,limit,affordability adoption,NOUN_CHUNK,NOUN_CHUNK
247,China,deploying,new networks,GPE,NOUN_CHUNK
248,2 billion people,include,affordability,NOUN_CHUNK,NOUN_CHUNK
249,demographic economic shifts,appear,likely draw.a billion people,NOUN_CHUNK,NOUN_CHUNK
250,population growth,add,400 million new mobile internet,NOUN_CHUNK,NOUN_CHUNK
251,urbanization,likely.bring,150 million currently unconnected rural inhabitants,NOUN_CHUNK,NOUN_CHUNK
252,people,lack,network coverage,NOUN_CHUNK,NOUN_CHUNK
253,Incremental difference.could,boost,global GDP,ORG,NOUN_CHUNK
254,Connectivity providers,face,tough road,NOUN_CHUNK,NOUN_CHUNK
255,rollout,demands,major investment,NOUN_CHUNK,NOUN_CHUNK
256,World Bank literature review,finds,economic,NOUN_CHUNK,NOUN_CHUNK
257,economic growth,see,World development report,NOUN_CHUNK,NOUN_CHUNK
258,Providers,posted,stable revenues,NOUN_CHUNK,NOUN_CHUNK
259,providers,face,unique challenges,NOUN_CHUNK,NOUN_CHUNK
260,Providers,expand,Providers,NOUN_CHUNK,NOUN_CHUNK
261,figures,contain,world,NOUN_CHUNK,NOUN_CHUNK
262,growth requirements,cover,expected increases,NOUN_CHUNK,NOUN_CHUNK
263,Followers,Trailing,China                  India,NOUN_CHUNK,GPE
264,number,merit,exploration,NOUN_CHUNK,NOUN_CHUNK
265,connectivity providers,solve,monetization puzzle,NOUN_CHUNK,NOUN_CHUNK
266,providers,claim,bigger partnership role,NOUN_CHUNK,NOUN_CHUNK
267,Enhanced connectivity,open,opportunities,NOUN_CHUNK,NOUN_CHUNK
268,changes,have,meaningful,NOUN_CHUNK,NOUN_CHUNK
269,questions,provoke,interesting discussions,NOUN_CHUNK,NOUN_CHUNK
270,consumer applications,change,pattern,NOUN_CHUNK,NOUN_CHUNK
271,research,identified,archetypes,NOUN_CHUNK,NOUN_CHUNK
272,governments.have,played,hands role,NOUN_CHUNK,NOUN_CHUNK
273,Index,extrapolate,development,NOUN_CHUNK,NOUN_CHUNK
274,McKinsey Global Institute,calculate,GDP impact,ORG,NOUN_CHUNK
275,distribution,results.from,classification,NOUN_CHUNK,NOUN_CHUNK
276,visibility,realized,accurate forecasts,NOUN_CHUNK,NOUN_CHUNK
277,A1.We,analyzed,key drivers,NOUN_CHUNK,NOUN_CHUNK
278,China model,evaluates,countries,NOUN_CHUNK,NOUN_CHUNK
279,Trailing selected countries,projected,connectivity development,NOUN_CHUNK,NOUN_CHUNK
280,Pioneers,represent,million people,NOUN_CHUNK,NOUN_CHUNK
281,cost,excludes,potential investments,NOUN_CHUNK,NOUN_CHUNK
282,ratio,exceeds,15 to 20 percent,NOUN_CHUNK,PERCENT
283,McKinsey Global Institute,use,operators,ORG,NOUN_CHUNK
284,project team,included,Philip Arejola,NOUN_CHUNK,PERSON
285,Jan Mischke,provided,leadership,PERSON,NOUN_CHUNK
286,Internet,Mapping,value,NOUN_CHUNK,NOUN_CHUNK
