,subject,relation,object,subject_type,object_type
232,Google,serves,about 60 percent,ORG,PERCENT
233,Facebook,represents,24 percent,ORG,PERCENT
250,Salesforce,offers,Salesforce suite,ORG,NOUN_CHUNK
257,Americas,Developing,Americas,ORG,LOC
274,Xiaomi,launched,homegrown chip,ORG,NOUN_CHUNK
275,Pinecone.91 Foxconn,established,new base,ORG,NOUN_CHUNK
284,Ford,exported,"180,000",ORG,CARDINAL
285,Hyundai,cars,"153,000",ORG,CARDINAL
289,technologies,have,varied complex effect,ORG,NOUN_CHUNK
293,Advanced robotics,reduce,importance,ORG,NOUN_CHUNK
297,.                                     Internet,track,shipments,ORG,NOUN_CHUNK
299,Australian company,utilizes,Google,NOUN_CHUNK,ORG
321,HSBC,Don Weinland,trade finance deal,ORG,NOUN_CHUNK
343,The ‘Chinese Netflix’ iQiyi,gearing,things,ORG,NOUN_CHUNK
351,Tesla,established,Tesla,ORG,PRODUCT
364,the IoT,improve,shipment,ORG,NOUN_CHUNK
368,McKinsey Global Institute,consider,specific product categories,ORG,NOUN_CHUNK
369,EVs,reduce,1.4 trillion trade,ORG,NOUN_CHUNK
380,Volvo,changing,planned exports,ORG,NOUN_CHUNK
383,Volvo,Keith Naughton,production plans,ORG,NOUN_CHUNK
384,SMEs,have,new opportunities,ORG,NOUN_CHUNK
388,Amazon,hosts,million party,ORG,NOUN_CHUNK
390,Lazada,offers,marketplace,ORG,NOUN_CHUNK
393,Zendesk,offers,package,ORG,NOUN_CHUNK
395,Zendesk,serves,businesses,ORG,NOUN_CHUNK
397,Group’s Tata Steel,prioritizing,automation,ORG,NOUN_CHUNK
401,Coca-Cola,owns,brands,ORG,NOUN_CHUNK
402,Coca-Cola,maximizes,potential,ORG,NOUN_CHUNK
405,Starbucks,vary,Starbucks product offerings,ORG,NOUN_CHUNK
412,HSBC,has,presence,ORG,NOUN_CHUNK
414,Global,Offers,a single                          Global                                           Airbus,NOUN_CHUNK,ORG
424,Toyota,introducing,new manufacturing system,ORG,NOUN_CHUNK
482,Amazon,announced,expansion,ORG,NOUN_CHUNK
491,McKinsey Global Institute,mapped,WIOD industry,ORG,NOUN_CHUNK
503,of.e-commerce,translate,savings,ORG,NOUN_CHUNK
508,We.which,adopting,automation technologies,ORG,NOUN_CHUNK
509,EVs,estimate,trade,ORG,NOUN_CHUNK
510,McKinsey,obtained,input output table,ORG,NOUN_CHUNK
512,EVs,reduce,oil trade,ORG,NOUN_CHUNK
515,illustrated user,guide.to,the World Input,NOUN_CHUNK,ORG
0,Institute,ranked,the McKinsey Global Institute,NOUN_CHUNK,ORG
28,McKinsey Global Institute,shift,services,ORG,NOUN_CHUNK
93,technologies,give,needed boost,ORG,NOUN_CHUNK
251,the United,needs,talent,ORG,NOUN_CHUNK
292,The US High School Movement,raised,educational attainment,ORG,NOUN_CHUNK
293,The US High School Movement,propelled,progress,ORG,NOUN_CHUNK
296,the GI Bill,changed,perceptions,ORG,NOUN_CHUNK
298,Exhibit 28.The High School Movement,raised,education skill levels,ORG,NOUN_CHUNK
299,Starbucks,has,entered.gap,ORG,ORG
301,Markle Foundation,begun,initiative,ORG,NOUN_CHUNK
335,Danielle Paquette,"‘Look, I can quit’: Why Target is giving workers a big raise",The Washington Post,PERSON,ORG
356,review,shows,that AI,NOUN_CHUNK,ORG
359,latest automation and AI technologies,have,strong digital capabilities,ORG,NOUN_CHUNK
382,The GGM,uses,inputted unemployment displacement,ORG,NOUN_CHUNK
389,neural network,achieved,84 % correct score,ORG,NOUN_CHUNK
396,NBER,working,Autor,ORG,NOUN_CHUNK
398,The Review of Economics and Statistics,issue,93,ORG,CARDINAL
399,McKinsey & Company,Gaining,momentum,ORG,NOUN_CHUNK
402,Houghton Mifflin Harcourt,Exploring,effects,ORG,NOUN_CHUNK
0,Global Institute’s,covered,20 countries,ORG,NOUN_CHUNK
7,Previous McKinsey Global Institute reports,include,Urban world,NOUN_CHUNK,ORG
22,Snower,Exploring,new social contract,ORG,NOUN_CHUNK
24, Education,paid,holidays,ORG,NOUN_CHUNK
40,Healthcare,represents,9 percent,ORG,PERCENT
42,OECD,estimated,quality price changes,ORG,NOUN_CHUNK
47,Healthcare,includes,medical products,ORG,NOUN_CHUNK
53,Innovations,democratized,access,ORG,NOUN_CHUNK
58,OECD,defines,net pension replacement rate,ORG,NOUN_CHUNK
106,seminal works,include,Nemat Shafik,NOUN_CHUNK,ORG
112, Education,paid,holidays,ORG,NOUN_CHUNK
157,Uber,makes,Uber pain New Yorkers problem,ORG,NOUN_CHUNK
193,healthcare,Outside,big role,ORG,NOUN_CHUNK
199,Healthcare,includes,medical products,ORG,NOUN_CHUNK
223,Eichholtz,shows,significant variations,ORG,NOUN_CHUNK
236,Academy,providing,free education courses,ORG,NOUN_CHUNK
254,Bernanke,dispute,Summers theory,ORG,NOUN_CHUNK
339,white families,owned,89 percent,ORG,PERCENT
361,social                 ,face,difficulties,ORG,NOUN_CHUNK
366,they.create.294 Dell,offers,benefits,ORG,NOUN_CHUNK
383,Tafel,collects,food items,ORG,NOUN_CHUNK
387,Amazon,launched,virtual health clinic,ORG,NOUN_CHUNK
388,Starbucks,offering,Starbucks employees scholarships,ORG,NOUN_CHUNK
390,317 Intesa Sanpaolo,offering,collateral-       free loans,ORG,NOUN_CHUNK
432,The OECD,defines,prime-age            OECD Stat,ORG,ORG
435,The OECD,standardized,agencies,ORG,NOUN_CHUNK
440,The OECD,defines,indicator,ORG,NOUN_CHUNK
441,equivalized            ,expresses,share,ORG,NOUN_CHUNK
447,The HICP,measures,change,ORG,NOUN_CHUNK
449,consumption segments,follow,the COICOP,NOUN_CHUNK,ORG
456,Broadband,includes,a financial             Global Institute,ORG,ORG
457,healthcare             insurance,covers,cost,ORG,NOUN_CHUNK
491,McKinsey Global Institute,Testing,resilience,ORG,NOUN_CHUNK
496,Snower,Exploring,"a new social.contract, Brookings Institution",ORG,ORG
9,cycles,leading,connectivity providers,ORG,NOUN_CHUNK
52,World,reach,only around 60 percent,ORG,PERCENT
76,Wi-Fi 6,make,biggest difference,ORG,NOUN_CHUNK
77,Wi-Fi 6,extends,battery,ORG,NOUN_CHUNK
83,Standalone 5 G,includes,the new 5G Packet Core,NOUN_CHUNK,ORG
93,the IoT,deliver,precision irrigation,ORG,NOUN_CHUNK
189,Telefónica,with,private 5 G network,ORG,NOUN_CHUNK
191,Audi,release,5 G,ORG,NOUN_CHUNK
192,Volkswagen,release,Industrial Cloud,ORG,ORG
240,mid-band 5G,upgrade,infrastructure,ORG,NOUN_CHUNK
241,capacity,determine,viability,ORG,NOUN_CHUNK
243,BharatNet,links,1.29 lakh panchayats,ORG,NOUN_CHUNK
253,Incremental difference.could,boost,global GDP,ORG,NOUN_CHUNK
274,McKinsey Global Institute,calculate,GDP impact,ORG,NOUN_CHUNK
283,McKinsey Global Institute,use,operators,ORG,NOUN_CHUNK
1,Global Institute’s,covered,20 countries.and 30 industries,ORG,NOUN_CHUNK
3,leading economists,advise,MGI.research,NOUN_CHUNK,ORG
5,SARS-CoV-2,causing,COVID‑19,ORG,NOUN_CHUNK
9,The McKinsey Global Institute,Computer.has,active research program,ORG,NOUN_CHUNK
10,Hughes Medical Institute Investigator      ,offered,valuable insights,ORG,NOUN_CHUNK
16,Science,needs,investment,ORG,NOUN_CHUNK
61,Examples,include,the Encyclopedia of DNA Elements,NOUN_CHUNK,ORG
77,the Human Genome Project,an idea,$3 billion,ORG,MONEY
78,Sciences,extended,capabilities,ORG,NOUN_CHUNK
86,performance2          ,testing,Liquid biopsy                     CAR T cell therapies,ORG,NOUN_CHUNK
87,services4                                               genetic,profile,fitness,ORG,NOUN_CHUNK
96,FDA,approved,immune.published,ORG,NOUN_CHUNK
98,World IVF baby,born,US Food and Drug,NOUN_CHUNK,ORG
103,science,use,scientific discipline,ORG,NOUN_CHUNK
106,Innovations,cover,wide range,ORG,NOUN_CHUNK
110,RNA,translated,Genomics,ORG,NOUN_CHUNK
111,Technologies,include,RNA-Seq,NOUN_CHUNK,ORG
124,proteomic analyses,require,antibodies.73 Overall,NOUN_CHUNK,ORG
129,MakerBots,bring,price,ORG,NOUN_CHUNK
136,Biocomputing,includes,use,ORG,NOUN_CHUNK
165,interface technologies,pose,risks,ORG,NOUN_CHUNK
171,AveXis,announces,innovative Zolgensma gene therapy access programs,ORG,NOUN_CHUNK
213,Examples,include,ENCyclopedia,NOUN_CHUNK,ORG
225,the Cassava Virus Action Project,involved,$3 billion,ORG,MONEY
242,Philippines,approves,nutritionally-enhanced GMO Golden Rice,GPE,ORG
243,performance2          ,testing,Liquid biopsy                     CAR T cell therapies,ORG,NOUN_CHUNK
244,services4                                               genetic,profile,fitness,ORG,NOUN_CHUNK
258,Sysco,launched,platform,ORG,NOUN_CHUNK
274,Facebook,spent,between $500 million and $1 billion,ORG,MONEY
277,Facebook,acquires,neural interface startup CTRL-Labs,ORG,ORG
283,the US National Institutes,asked,the National,ORG,ORG
284,Research Council’s Board,set,committee,ORG,NOUN_CHUNK
286,regulation,differs,among.geographies,NOUN_CHUNK,ORG
303,Healthcare,seeing,growing.adoption,ORG,NOUN_CHUNK
312,Omics,have,substantial positive impact,ORG,NOUN_CHUNK
313,The National Academy of Sciences,warned,considerable gaps,ORG,NOUN_CHUNK
321,The US Food and Drug Administration,maintains,continually updated list,ORG,NOUN_CHUNK
334,GV,leads,58.5 M round,ORG,NOUN_CHUNK
346,Bayer,developed,hybrid dwarf maize variety,ORG,NOUN_CHUNK
355,The FDA,approved,animal drug application,ORG,NOUN_CHUNK
359,CoreBiome,offers,large scale microbiome sequencing,ORG,NOUN_CHUNK
366,334 Cultured meat,reduce,GHG,NOUN_CHUNK,ORG
369,Clear Labs,taking,advantage,ORG,NOUN_CHUNK
370,Clear Labs,shorten,turnaround times,ORG,NOUN_CHUNK
377,the FDA,allowed,23andMe,ORG,NOUN_CHUNK
389,Mother Dirt,AOBiome’s consumer division,hygiene,ORG,NOUN_CHUNK
411,Zymergen,announced,partnership,ORG,NOUN_CHUNK
413,biochemicals.and biofuels company Gevo,developing,a fermentation.378,ORG,ORG
436,NASA,conducting,research,ORG,NOUN_CHUNK
437,NASA NASA,followed,twin astronauts,ORG,NOUN_CHUNK
438,The NASA Twins Study,found,changes,ORG,NOUN_CHUNK
443,Neuroergonomics,Interpret,emotions,ORG,NOUN_CHUNK
450,The EU,approved,the Argus II,ORG,ORG
451,The United States,approved,The EU,GPE,ORG
456,FDA,Julie Steenhuysen,retinal implant,ORG,NOUN_CHUNK
470,French company Pixium Vision,produced.infrared,bionic vision implants,ORG,NOUN_CHUNK
475,Darpa,announced,a four-year,ORG,DATE
479,the European Bioinformatics Institute,reported,accuracy,ORG,NOUN_CHUNK
483,Microsoft,demonstrated,end end automated version,ORG,NOUN_CHUNK
488,Microsoft,Jennifer Langston,fully automated DNA data storage,ORG,NOUN_CHUNK
490,Darpa,attracting,interest.from governments,ORG,NOUN_CHUNK
505,"Champer, Jackson",Cheating,evolution,ORG,NOUN_CHUNK
506,"Champer, Jackson et al.",drive,experiments,ORG,NOUN_CHUNK
510,Carnegie Mellon,F.Feinberg,low cost high efficiency 3-D bioprinter,ORG,NOUN_CHUNK
513,"Lyon, Delina et al.",Using,genomics,ORG,NOUN_CHUNK
514,Markram,Introducing the Human Brain Project,"Procedia Computer Science,.2011",ORG,ORG
517,Okbay,identifies,74 loci,ORG,NOUN_CHUNK
