,index,entities,labels,size
100,2699,October 2019,DATE,8
101,408,28,CARDINAL,8
102,3519,decades,DATE,8
103,285,2003,DATE,8
104,552,38,CARDINAL,8
105,2281,MIT Technology Review,ORG,8
106,863,Africa,LOC,8
107,998,April 2020,DATE,8
108,3308,World Health Organization,ORG,8
109,3891,the next ten years,DATE,8
110,2664,Novozymes,ORG,7
111,621,43,CARDINAL,7
112,1893,Italy,GPE,7
113,1490,Earth,LOC,7
114,2090,July 2015,DATE,7
115,703,54,CARDINAL,7
116,645,45,CARDINAL,7
117,770,72,CARDINAL,7
118,284,2002,DATE,7
119,2933,Science,ORG,7
120,996,April 2018,DATE,7
121,1721,Genomics,ORG,7
122,2312,March 2020,DATE,7
123,2650,November 2015,DATE,7
124,2108,June,DATE,7
125,1562,European,NORP,7
126,1925,James Manyika,PERSON,7
127,3809,the Human Genome Project,ORG,7
128,1956,January 2019,DATE,7
129,2976,September 2019,DATE,7
130,3095,TALEN,ORG,6
131,1939,January,DATE,6
132,3969,zero,CARDINAL,6
133,3830,the National Academy of Sciences,ORG,6
134,3355,Zymergen,ORG,6
135,3474,biomachine,NORP,6
136,341,22,CARDINAL,6
137,2608,New York,GPE,6
138,286,2004,DATE,6
139,947,Andy Extance,PERSON,6
140,2475,Microsoft,ORG,6
141,69,1%,PERCENT,6
142,692,50,CARDINAL,6
143,2778,Personalized,ORG,6
144,711,57,CARDINAL,6
145,535,366,CARDINAL,6
146,2382,May 2018,DATE,6
147,2115,June 1975,DATE,6
148,3651,more than half,CARDINAL,6
149,2799,Polygenic,ORG,6
150,291,2009,DATE,6
151,442,30,CARDINAL,6
152,2310,March 2018,DATE,6
153,299,2015,DATE,6
154,2968,"September 2, 2016",DATE,6
155,1432,December 2019,DATE,6
156,2125,June 2018,DATE,6
157,295,2012,DATE,6
158,3914,the years ahead,DATE,6
159,2975,September 2018,DATE,6
160,1835,IHME,ORG,6
161,815,93,CARDINAL,6
162,499,339,CARDINAL,6
163,2702,"October 29, 2019",DATE,5
164,448,300,CARDINAL,5
165,2768,Paul Berg et al.,PERSON,5
166,2311,March 2019,DATE,5
167,3846,the United Nations,ORG,5
168,819,95,CARDINAL,5
169,1597,Facebook,ORG,5
170,209,18,CARDINAL,5
171,1953,January 2016,DATE,5
172,2395,"May 7, 2019",DATE,5
173,2609,New York Times,ORG,5
174,1253,Cas9,PRODUCT,5
175,1000,"April 6, 2020",DATE,5
176,1957,January 2020,DATE,5
177,995,April 2017,DATE,5
178,1954,January 2017,DATE,5
179,683,49,CARDINAL,5
180,1629,February 2018,DATE,5
181,1797,Healthcare,ORG,5
182,255,1994,DATE,5
183,2630,Noninvasive,PRODUCT,5
184,3740,six,CARDINAL,5
185,289,2007,DATE,5
186,317,2030,CARDINAL,5
187,3351,Zika,GPE,5
188,497,337,CARDINAL,5
189,3920,thousands,CARDINAL,5
190,287,2005,DATE,5
191,2693,October 2008,DATE,5
192,500,34,CARDINAL,5
193,2446,Michael Chui,PERSON,5
194,157,145,CARDINAL,5
195,2124,June 2017,DATE,5
196,699,52,CARDINAL,5
197,3680,one kilogram,QUANTITY,5
198,1371,DALY,PERSON,5
199,783,79,CARDINAL,5
200,790,81,CARDINAL,5
201,115,110,CARDINAL,5
202,121,116,CARDINAL,5
203,1685,GMO,ORG,5
204,2697,October 2017,DATE,5
205,1691,GWP,ORG,5
206,1120,Biomachine,NORP,5
207,2501,Monsanto,ORG,5
208,2377,May 2013,DATE,5
209,670,47,CARDINAL,5
210,3227,UN,ORG,4
211,242,1975,DATE,4
212,2715,Omics,ORG,4
213,1238,Carnegie Mellon,ORG,4
214,2528,NIH,ORG,4
215,397,27,CARDINAL,4
216,351,23,CARDINAL,4
217,3479,bionic vision,ORG,4
218,407,279,CARDINAL,4
219,3755,ten,CARDINAL,4
220,3217,T‑cell,CARDINAL,4
221,2524,NASA,ORG,4
222,3845,the United Kingdom,GPE,4
223,3769,the 1990s,DATE,4
224,3758,ten to 20 years,DATE,4
225,3724,roughly 30 percent,PERCENT,4
226,2502,Moore,PERSON,4
227,319,2030–40,CARDINAL,4
228,321,2040,DATE,4
229,2237,Liane Ong,PERSON,4
230,258,1996,DATE,4
231,914,American,NORP,4
232,337,216,CARDINAL,4
233,3738,siRNA,PERSON,4
234,1832,ICAO,ORG,4
235,623,431,CARDINAL,4
236,1425,December 2008,DATE,4
237,1563,European Commission,ORG,4
238,786,8%,PERCENT,4
239,598,41,CARDINAL,4
240,1555,Erika Stanzl,PERSON,4
241,785,8 percent,PERCENT,4
242,109,108,CARDINAL,4
243,2971,September 2012,DATE,4
244,1144,Bloomberg,ORG,4
245,3715,recent years,DATE,4
246,131,123,CARDINAL,4
247,606,417,CARDINAL,4
248,133,124,CARDINAL,4
249,135,126,CARDINAL,4
250,501,340,CARDINAL,4
251,3084,Susan Lund,PERSON,4
252,3088,Sven Smit,PERSON,4
253,1702,Gene,PERSON,4
254,3899,the past decade,DATE,4
255,596,408,CARDINAL,4
256,1566,European Union,ORG,4
257,2955,Second,ORDINAL,4
258,528,36%,PERCENT,4
259,1068,BASF,ORG,4
260,587,400,CARDINAL,4
261,1054,Australia,GPE,4
262,1625,February 2013,DATE,4
263,812,90,CARDINAL,4
264,1084,Bayer,ORG,4
265,1642,Financial Times,ORG,4
266,3017,Silicon Valley,LOC,4
267,3393,about 70 percent,PERCENT,4
268,1659,Four,CARDINAL,4
269,536,367,CARDINAL,4
270,533,364,CARDINAL,4
271,532,363,CARDINAL,4
272,531,362,CARDINAL,4
273,529,360,CARDINAL,4
274,3937,trillion,MONEY,4
275,3619,max,PERSON,4
276,3093,Sysco,ORG,4
277,773,74,CARDINAL,4
278,2533,NY,GPE,4
279,215,185,CARDINAL,4
280,1224,Canada,GPE,4
281,2943,Scientific American,ORG,4
282,3879,the next few decades,DATE,4
283,1218,California,GPE,4
284,1884,Intracellular,ORG,4
285,3465,billion,MONEY,4
286,3631,monogenic,PERSON,4
287,1203,CO2,ORG,4
288,181,159,CARDINAL,4
289,2638,Novel,PRODUCT,4
290,1326,Clemens Driessen,PERSON,4
291,3574,five,CARDINAL,4
292,754,65,CARDINAL,4
293,2321,"March 30, 2020",DATE,4
294,2671,OECD,ORG,4
295,3565,every year,DATE,4
296,895,Alexandra E. Sexton,PERSON,4
297,205,176,CARDINAL,4
298,740,6121,CARDINAL,4
299,2578,Nature Reviews Genetics,ORG,4
300,1235,Carl H.,PERSON,4
301,2944,Scientific Reports,ORG,4
302,3237,USA,GPE,3
303,3399,about one million,CARDINAL,3
304,2242,Lindsey Perkin,PERSON,3
305,2542,"National Academies of Sciences, Engineering",ORG,3
306,3391,about 60 percent,PERCENT,3
307,644,449,CARDINAL,3
308,3232,US Environmental Protection Agency,ORG,3
309,1952,January 2015,DATE,3
310,2029,Jonathan Woetzel,PERSON,3
311,2603,Neuroscience,ORG,3
312,1325,Clear Labs,ORG,3
313,2250,London,GPE,3
314,567,392,CARDINAL,3
315,3777,the Asilomar Conference,EVENT,3
316,1240,Carnegie Mellon University,ORG,3
317,446,30%,PERCENT,3
318,1225,Canadian,NORP,3
319,1088,Benjamin A. Garcia,PERSON,3
320,994,April 2015,DATE,3
321,1955,January 2018,DATE,3
322,3508,coming years,DATE,3
323,3408,all three,CARDINAL,3
324,553,380,CARDINAL,3
325,551,379,CARDINAL,3
326,534,365,CARDINAL,3
327,972,Antonio Regalado,PERSON,3
328,2832,RT,ORG,3
329,2562,Nature Biotechnology,ORG,3
330,3681,one ton,QUANTITY,3
331,3490,chapter 1,LAW,3
332,2743,PLoS Genetics,ORG,3
333,2801,Popular Mechanics,ORG,3
334,1027,Atlantic,LOC,3
335,3364,a year,DATE,3
336,2740,PLA,ORG,3
337,1,$ trillion,MONEY,3
338,2225,Lee Rowen,PERSON,3
339,1842,Illumina,ORG,3
340,1016,Arvind Govindarajan,PERSON,3
341,2797,Plant Science,ORG,3
342,2796,Plant,ORG,3
343,3280,Wall Street Journal,ORG,3
344,2184,Kevin Webster,PERSON,3
345,2881,Rogers,ORG,3
346,1037,August 2014,DATE,3
347,1137,Biotech,ORG,3
348,516,350,CARDINAL,3
349,518,352,CARDINAL,3
350,1133,Biosequestration,PRODUCT,3
351,3260,Verge,ORG,3
352,1129,Biopharma Dive,ORG,3
353,986,"April 17, 2019",DATE,3
354,2726,Organisation for Economic Co,ORG,3
355,526,36,CARDINAL,3
356,958,Ann Westra,PERSON,3
357,1162,Brazil,GPE,3
358,2830,RNA-Seq,ORG,3
359,383,257,CARDINAL,3
360,527,36 percent,PERCENT,3
361,0,$ billion,MONEY,3
362,1805,Henry G. Grabowski,PERSON,3
363,1712,Genetic Engineering & Biotechnology News,ORG,3
364,2346,Martin Hirt,PERSON,3
365,864,African,NORP,3
366,1499,Edd Fleming,ORG,3
367,1500,Edd Fleming,PERSON,3
368,2088,July 2011,DATE,3
369,3629,millions or billions,MONEY,3
370,145,135,CARDINAL,3
371,2091,July 2017,DATE,3
372,3627,millions,CARDINAL,3
373,2641,"November 13, 2019",DATE,3
374,3624,microbiomics,GPE,3
375,123,119,CARDINAL,3
376,776,75.9,CARDINAL,3
377,108,107,CARDINAL,3
378,106,106,CARDINAL,3
379,3893,the next two decades,DATE,3
380,2087,July 2008,DATE,3
381,1672,Frontiers in Genetics,ORG,3
382,174,153,CARDINAL,3
383,3550,eds.,GPE,3
384,2681,October,DATE,3
385,1430,December 2017,DATE,3
386,3145,The NASA Twins Study,ORG,3
387,731,60,DATE,3
388,733,60%,PERCENT,3
389,2481,Miguel Ramirez,PERSON,3
390,214,184,CARDINAL,3
391,3135,The Human Genome Project:,WORK_OF_ART,3
392,1456,Digital,ORG,3
393,1732,Getty,ORG,3
394,196,169,CARDINAL,3
395,3226,UK,GPE,3
396,1476,Duncan Graham-Rowe,PERSON,3
397,3105,TechCrunch,ORG,3
398,1548,Eran Elinav,PERSON,3
399,1561,Europe,LOC,3
400,241,197,CARDINAL,3
401,831,A. Wedell,PERSON,3
402,2996,Shanghai,GPE,3
403,3962,weeks,DATE,3
404,807,89,CARDINAL,3
405,2434,Meredith Reichart,PERSON,3
406,1608,Fast Company,ORG,3
407,30,$3 billion,MONEY,3
408,3014,Shubham Singhal,PERSON,3
409,813,91,CARDINAL,3
410,2427,Megan Scudellari,PERSON,3
411,3983,,CARDINAL,3
412,3985,,PRODUCT,3
413,826,99,CARDINAL,3
414,9,$100 billion,MONEY,3
415,824,98,CARDINAL,3
416,3005,Shengdar Q. Tsai,PERSON,3
417,2645,"November 19, 2018",DATE,3
418,2642,"November 14, 2018",DATE,3
419,89,100,MONEY,3
420,800,86,CARDINAL,3
421,2659,"November 5, 2018",DATE,3
422,3046,Stanford University,ORG,3
423,2375,May 2003,DATE,3
424,792,82,CARDINAL,3
425,71,"1,000",MONEY,3
426,2380,May 2016,DATE,3
427,2381,May 2017,DATE,3
428,3039,South China Morning Post,ORG,3
429,2383,May 2019,DATE,3
430,2123,June 2016,DATE,3
431,1656,Forbes,PERSON,3
432,1655,Forbes,ORG,3
433,1587,Ezra Greenberg,PERSON,3
434,55,0,CARDINAL,3
435,799,85,DATE,3
436,2309,March 2016,DATE,3
437,190,163,CARDINAL,3
438,3688,only one,CARDINAL,3
439,2905,SNP,ORG,3
440,320,2040,CARDINAL,3
441,314,2022,DATE,3
442,2896,Ryan McCullough,PERSON,3
443,1389,Daniel Sarewitz,PERSON,3
444,315,2025,DATE,3
445,1412,DayTwo,ORG,3
446,3203,Transplantable,PRODUCT,3
447,2613,Nicholas Donoghoe,PERSON,3
448,2059,Journal of Internal Medicine,ORG,3
449,2694,October 2010,DATE,3
450,276,20 years,DATE,3
451,2296,March,DATE,3
452,2057,Journal of Health Economics,ORG,3
453,1393,Danping Zheng,PERSON,3
454,2277,MAS,ORG,3
455,2278,MEG,ORG,3
456,1394,Darpa,ORG,3
457,3542,eLife,ORG,3
458,2158,Katarzyna Kulej,PERSON,3
459,2305,"March 20, 2018",DATE,3
460,2051,Journal of Cell Biology,WORK_OF_ART,3
461,1750,Golden Rice,GPE,3
462,2530,NMR,ORG,3
463,2888,Ronald W. Hansen,PERSON,3
464,2683,"October 10, 2019",DATE,3
465,1333,Cogent Food & Agriculture,ORG,3
466,921,Americans,NORP,3
467,3214,Two,CARDINAL,3
468,3652,more than one,CARDINAL,3
469,3796,the European Union,ORG,3
470,3160,Third,ORDINAL,3
471,256,1995,DATE,3
472,961,Anna Edlund,PERSON,2
473,3530,digital,ORG,2
474,2695,October 2011,DATE,2
475,3590,half,CARDINAL,2
476,3497,chapter 6.3,LAW,2
477,959,Anna,PERSON,2
478,2048,Journal of Bioengineering & Biomedical Science,ORG,2
479,1040,August 2017,DATE,2
480,3496,chapter 6.1,LAW,2
481,839,AOBiome,ORG,2
482,3498,chapter 6.4,LAW,2
483,841,Aaron Aslanian,PERSON,2
484,2691,October 2005,DATE,2
485,2714,Omar S. Akbari,PERSON,2
486,842,Aaron Sin,PERSON,2
487,2747,Palermo,GPE,2
488,3500,chapter 6.6,LAW,2
489,2104,"July 9, 2019",DATE,2
490,3430,aquaculture,ORG,2
491,2035,Joseph A. DeMasi,PERSON,2
492,3432,around 400,CARDINAL,2
493,3433,around one-third,CARDINAL,2
494,3437,as much as 60 percent,PERCENT,2
495,2651,November 2016,DATE,2
496,2038,Joseph R. Herkert,PERSON,2
497,2705,"October 7, 2019",DATE,2
498,3439,at least 45 percent,PERCENT,2
499,2652,November 2017,DATE,2
500,1049,"August 6, 2010",DATE,2
501,829,A decade,DATE,2
502,2040,Josh Sternberg,PERSON,2
503,2027,Jonathan Shieber,PERSON,2
504,932,Analogs,PRODUCT,2
505,1048,"August 5, 2013",DATE,2
506,2042,Joshua M. Hare,PERSON,2
507,2026,Jonathan Saul,PERSON,2
508,3600,just $200,MONEY,2
509,2107,Jun Tang,PERSON,2
510,1039,August 2016,DATE,2
511,1045,"August 3, 2009",DATE,2
512,1044,"August 27, 2013",DATE,2
513,952,Animal,ORG,2
514,2696,October 2014,DATE,2
515,847,Academic Press,ORG,2
516,3548,earth,LOC,2
517,3532,discovery,PRODUCT,2
518,990,April 2006,DATE,2
519,871,Agriculture,ORG,2
520,2000,Jesse Hirsch,PERSON,2
521,2666,Nuffield Council,ORG,2
522,2730,Outbreak breakthrough:,WORK_OF_ART,2
523,1008,Argentina,GPE,2
524,3469,bio-nanorobotic,NORP,2
525,2729,"Other2
                                                                ",ORG,2
526,1004,Aquafil,PERSON,2
527,2667,Number 11,CARDINAL,2
528,2668,Number 131,CARDINAL,2
529,988,April 1983,DATE,2
530,3473,biohacker,PERSON,2
531,879,Albert Wai-Kit Chan,PERSON,2
532,2077,"July 10, 2019",DATE,2
533,1971,Japan,GPE,2
534,884,Aleksandar,ORG,2
535,2075,"July 1, 2015",DATE,2
536,999,"April 23, 2018",DATE,2
537,886,Aleksandra A. Kolodziejczyk,PERSON,2
538,2074,July,DATE,2
539,3544,each year,DATE,2
540,890,Alex Philippidis,PERSON,2
541,3555,eldercare,ORG,2
542,2684,"October 11, 2018",DATE,2
543,2062,Journal of Zhejiang University,ORG,2
544,2680,Oak Ridge National Laboratory,ORG,2
545,991,April 2010,DATE,2
546,902,Alice Zheng,PERSON,2
547,1999,Jeongmin Seong,PERSON,2
548,2086,July 2006,DATE,2
549,2686,"October 12, 2019",DATE,2
550,2735,PGD,ORG,2
551,848,Acceleration,PRODUCT,2
552,850,Acellular biomaterials:,WORK_OF_ART,2
553,3491,chapter 3,LAW,2
554,1036,August 2012,DATE,2
555,2094,"July 25, 2018",DATE,2
556,993,April 2013,DATE,2
557,970,Anthony Atala,PERSON,2
558,1034,August 2008,DATE,2
559,1033,August 2006,DATE,2
560,2690,October 2004,DATE,2
561,2093,July 2019,DATE,2
562,2689,"October 19, 2019",DATE,2
563,858,Adam Kokotovich,PERSON,2
564,2055,Journal of Genetic Counseling,ORG,2
565,2089,July 2012,DATE,2
566,861,Advances in organ-on-a-chip engineering,WORK_OF_ART,2
567,3489,"chapter
                                                   6.2",LAW,2
568,1985,Jeff Smith,PERSON,2
569,3484,biosystems,ORG,2
570,2742,PLoS Computational Biology,WORK_OF_ART,2
571,865,Aggie Mika,PERSON,2
572,3450,between 1 and 3 percent,CARDINAL,2
573,982,"April 12, 2013",DATE,2
574,2687,"October 16, 2018",DATE,2
575,3454,between 2008,DATE,2
576,2738,PGT,ORG,2
577,1992,Jennifer Kite-Powell,PERSON,2
578,2744,PLoS Medicine,ORG,2
579,3272,Visions of the future,WORK_OF_ART,2
580,1065,Ayman Atia,PERSON,2
581,3094,T. Nemecek,PERSON,2
582,1441,Demos,ORG,2
583,3141,The International Symposium,EVENT,2
584,2934,Science,PERSON,2
585,1740,Ginkgo Bioworks,PERSON,2
586,2937,Science Daily,ORG,2
587,1450,Development,ORG,2
588,2939,Science Translational Medicine,ORG,2
589,1454,Diet,ORG,2
590,1455,Diffusion of Innovations,ORG,2
591,3129,The Future of Agriculture,ORG,2
592,1731,Geroscience: Linking aging to chronic disease,WORK_OF_ART,2
593,2942,Science of the Total Environment,WORK_OF_ART,2
594,1463,Dolly Wattal Dhar,PERSON,2
595,1729,Germline,ORG,2
596,1469,Dordrecht,GPE,2
597,1725,George I. Seffers,PERSON,2
598,1722,Genotyping,PERSON,2
599,1717,Genomatica,PERSON,2
600,1480,E1,CARDINAL,2
601,3109,Ten years,DATE,2
602,3108,Telegraph,FAC,2
603,1714,Genetic Resources for Food and Agriculture,ORG,2
604,1487,ETH Zurich,ORG,2
605,1713,Genetic Literacy Project,ORG,2
606,1495,Ecocert,PERSON,2
607,2956,SecondSight,ORG,2
608,1705,Gene drives in our future:,WORK_OF_ART,2
609,1745,GloFish,ORG,2
610,1437,"December 31, 2019",DATE,2
611,1746,Global Ecology and Conservation,ORG,2
612,1407,David J. Mackill,PERSON,2
613,1775,HGP,ORG,2
614,3183,Tingyue Gu,PERSON,2
615,1384,Dana,PERSON,2
616,1385,Dana Carroll,PERSON,2
617,1771,H. Stranneheim,PERSON,2
618,1390,Daniel Thornton,PERSON,2
619,2915,"San Francisco
                                                                             ",GPE,2
620,3173,Three,CARDINAL,2
621,1397,David,PERSON,2
622,1400,David Cyranoski,PERSON,2
623,1762,GtCO,ORG,2
624,1405,David Hoisington,PERSON,2
625,3165,Thomas Crow,PERSON,2
626,3148,The National Academy of Sciences,ORG,2
627,2926,Sarah Wiethoff,PERSON,2
628,1754,Golden State Killer,WORK_OF_ART,2
629,3157,The Wyss Institute for Biologically Inspired Engineering,ORG,2
630,1752,Golden Rice,WORK_OF_ART,2
631,1751,Golden Rice,PERSON,2
632,3154,The United States,GPE,2
633,1422,"December 18, 2019",DATE,2
634,2928,Saskia Hedrich,PERSON,2
635,3151,The Precision Medicine Initiative,ORG,2
636,1426,December 2010,DATE,2
637,2930,Sastry Chilukuri,PERSON,2
638,1429,December 2016,DATE,2
639,1502,Editorial:,WORK_OF_ART,2
640,1507,Egyptian Informatics Journal,ORG,2
641,1069,BBC,ORG,2
642,1508,Eillie Anzilotti,PERSON,2
643,1660,France,GPE,2
644,1583,Exome,PERSON,2
645,2992,Shai Fuchs,PERSON,2
646,3030,Society,ORG,2
647,3029,Six,CARDINAL,2
648,1652,Food and Agriculture Organization,ORG,2
649,1593,FBI,ORG,2
650,1596,FLAVR,ORG,2
651,3025,Singapore,GPE,2
652,1600,Fall 2008,DATE,2
653,1601,Fall webworm,WORK_OF_ART,2
654,3023,Simson Garfinkel,PERSON,2
655,3022,Simone Sidoli,PERSON,2
656,2997,Sharon P. Shoemaker,PERSON,2
657,1609,February,DATE,2
658,3016,Signal,ORG,2
659,1644,Finless Foods,ORG,2
660,1619,February 1963,DATE,2
661,3009,Shinya Yamanaka,PERSON,2
662,1622,February 2008,DATE,2
663,1623,February 2010,DATE,2
664,1626,February 2015,DATE,2
665,1627,February 2016,DATE,2
666,1628,February 2017,DATE,2
667,1631,February 2020,DATE,2
668,1637,Fermentalg,ORG,2
669,1633,February 26,DATE,2
670,1663,Francis Crick,PERSON,2
671,1574,Ewen Callaway,PERSON,2
672,3043,Springer,GPE,2
673,1686,GMO Golden Rice,ORG,2
674,2960,September,DATE,2
675,3090,Synbiobeta,PERSON,2
676,1701,GenBank,ORG,2
677,3083,Surgical Neurology International,ORG,2
678,2963,"September 1, 2019",DATE,2
679,3081,Sunil Sanghvi,PERSON,2
680,1520,Elizabeth Lopatto,PERSON,2
681,2964,"September 10–13, 2018",DATE,2
682,3079,Sumitomo Chemical,ORG,2
683,1527,Emilio Rodríguez-Cerezo,PERSON,2
684,1528,Emily Chang,PERSON,2
685,1535,Energy,ORG,2
686,1684,GM golden rice,WORK_OF_ART,2
687,1664,Francis S. Collins,PERSON,2
688,2973,September 2014,DATE,2
689,2974,September 2016,DATE,2
690,1543,Environmental Progress and Sustainable Energy,ORG,2
691,1545,Environmental Science & Technology,ORG,2
692,3059,Stephen Hsu,PERSON,2
693,1675,Frontiers in Science,WORK_OF_ART,2
694,1673,Frontiers in Nutrition,ORG,2
695,1554,Erika Check Hayden,PERSON,2
696,2981,"September 27, 2019",DATE,2
697,1564,European Journal of Nutrition,ORG,2
698,1567,Evangelia Stergiakouli,PERSON,2
699,1569,Everett M. Rogers,PERSON,2
700,2907,SSVEP,PRODUCT,2
701,1779,Hamburg,GPE,2
702,1372,DARPA,ORG,2
703,1370,Cytological,PERSON,2
704,1169,British,NORP,2
705,2807,Preimplantation,ORG,2
706,1173,Bronze,PERSON,2
707,1904,Jaana Remes,PERSON,2
708,3348,Zhuwei Du,GPE,2
709,1900,J. M. Lyons,PERSON,2
710,3344,Zen Soo,PERSON,2
711,3343,Zafer Bashi,PERSON,2
712,2812,Procedia Computer Science,WORK_OF_ART,2
713,3341,Zachary B. Lippman,PERSON,2
714,1898,J. E. Till,PERSON,2
715,2814,Proteomics,ORG,2
716,2815,Proteomics,PERSON,2
717,2816,PubMed,PRODUCT,2
718,1189,CAR T‑cell,PRODUCT,2
719,1195,CD19,CARDINAL,2
720,1197,CNBC,ORG,2
721,1198,CNN,ORG,2
722,1885,Introducing the Human Brain Project,WORK_OF_ART,2
723,1207,CRISPR-Cas9,ORG,2
724,1208,CRISPR-Chip,ORG,2
725,1880,International Journal of Molecular Sciences,ORG,2
726,1876,International HapMap Project,ORG,2
727,2831,RNA-Seq,PRODUCT,2
728,1219,California Agriculture,ORG,2
729,1220,Calvin,ORG,2
730,2833,RTSI,ORG,2
731,1165,Brenda Oppert,PERSON,2
732,3357,a decade,DATE,2
733,1910,Jacob Bell,PERSON,2
734,1949,January 2012,DATE,2
735,2759,Paris,GPE,2
736,3423,"approximately
$2 trillion to $4 trillion",MONEY,2
737,1073,BMC Proceedings,ORG,2
738,1074,BMJ,ORG,2
739,2762,Partnership on AI,ORG,2
740,2763,Pascal Tillie,PERSON,2
741,1078,Baker,PERSON,2
742,1960,"January 22, 2019",DATE,2
743,1086,Beijing,GPE,2
744,1093,Bernard Marr,PERSON,2
745,1098,Beth Shapiro,PERSON,2
746,1950,January 2013,DATE,2
747,2775,Peggy Hollinger,PERSON,2
748,1158,Braden R. Allenby,PERSON,2
749,1122,Biomarker,PERSON,2
750,1126,Biomolecules,ORG,2
751,1127,Biomolecules,PERSON,2
752,1930,James Romanchek,PERSON,2
753,1134,Biosequestration of CO2,PRODUCT,2
754,1138,Biotechnology Advances,ORG,2
755,1139,Biotechnology Journal,ORG,2
756,2792,Phytosequestration:,WORK_OF_ART,2
757,1146,Bo Häkansson,PERSON,2
758,1148,Bo et al.,GPE,2
759,1919,Jakob Aptekar,PERSON,2
760,1155,Box 2,PRODUCT,2
761,2846,Raymond Pierrehumbert,PERSON,2
762,2848,Rebeca Willis,PERSON,2
763,3297,William D. Foulkes,PERSON,2
764,1795,Health Affairs,ORG,2
765,1314,Chrysi Sergaki et al.,PERSON,2
766,3236,US Presidential Commission,ORG,2
767,2886,Ron Milo,PERSON,2
768,3234,US Food and Drug Administration,ORG,2
769,1806,Henry Houlden,PERSON,2
770,3230,US Department of Energy,ORG,2
771,1324,Claudia et al.,PERSON,2
772,1331,Clinics in Dermatology,ORG,2
773,3222,U.S.,GPE,2
774,1338,Color Genomics,ORG,2
775,3218,T‑cell,DATE,2
776,1796,Health Europa,ORG,2
777,1793,Hassan Dana et al.,PERSON,2
778,2880,Rogers,GPE,2
779,1791,Harvard University,ORG,2
780,2898,"S-curve
      ",PRODUCT,2
781,3205,Treg,PERSON,2
782,3204,Travers Nisbet,PERSON,2
783,3202,Translating the science of aging into therapeutic interventions,WORK_OF_ART,2
784,1787,Haoran Li,PERSON,2
785,3199,Transcriptomics,FAC,2
786,1786,Hans-Peter Kiem,PERSON,2
